transmission,model,Year of Manufacture,City,Fuel Type,bt,Ownership,Kms Driven,Engine Type
Automatic,Hyundai Verna,2017.0,Bangalore,Petrol,Sedan,First Owner,30301.0,VTVT Petrol Engine
Manual,Hyundai i10,2010.0,Bangalore,Petrol,Hatchback,First Owner,66000.0,DOHC Engine
Manual,Hyundai i20,2017.0,Bangalore,Petrol,Hatchback,First Owner,56010.0,Kappa VTVT Petrol Engine
Automatic,Mercedes-Benz GLC,2017.0,Bangalore,Diesel,SUV,First Owner,47000.0,Diesel Engine
Manual,Nissan Terrano,2014.0,Bangalore,Diesel,SUV,Second Owner,60000.0,K9K Diesel Engine
Manual,Maruti Swift,2014.0,Bangalore,Diesel,Hatchback,First Owner,83829.0,DDiS Diesel Engine
Automatic,Renault KWID,2020.0,Bangalore,Petrol,Hatchback,First Owner,10000.0,Petrol Engine
Automatic,Renault Duster,2016.0,Bangalore,Diesel,SUV,Second Owner,35000.0,dCi THP Diesel Engine
Automatic,Honda City,2019.0,Bangalore,Petrol,Sedan,Second Owner,51116.0,i VTEC Engine
Manual,Skoda Rapid,2016.0,Bangalore,Diesel,Sedan,Third Owner,80000.0,Diesel Engine
Automatic,Volkswagen Polo,2017.0,Bangalore,Petrol,Hatchback,Second Owner,40000.0,TSI Petrol Engine
Automatic,Honda CR-V,2012.0,Bangalore,Petrol,SUV,Second Owner,85565.0,i-VTEC Engine
Manual,Ford Ecosport,2018.0,Bangalore,Petrol,SUV,First Owner,36916.0,Ti-VCT Petrol Engine
Manual,Volkswagen Polo,2015.0,Bangalore,Diesel,Hatchback,First Owner,90000.0,TDI Diesel Engine
Manual,Maruti Swift,2012.0,Bangalore,Petrol,Hatchback,First Owner,112795.0,K Series Dual jet
Automatic,Mercedes-Benz A-Class Limousine,2021.0,Bangalore,Petrol,Sedan,First Owner,11000.0,L4 200
Manual,Toyota Innova,2014.0,Bangalore,Petrol,MUV,Second Owner,120000.0,1 TR-FE Petrol Engine
Manual,Honda Brio,2016.0,Bangalore,Petrol,Hatchback,Second Owner,36685.0,i-VTEC Engine
Automatic,Hyundai Santa Fe,2012.0,Bangalore,Diesel,SUV,Second Owner,120000.0,CRDi Diesel Engine
Automatic,BMW 6 Series,2022.0,Bangalore,Petrol,Sedan,First Owner,4000.0,TwinPower Turbo inline 4-cylinder engine
Automatic,Maruti Baleno,2019.0,Bangalore,Petrol,Hatchback,Second Owner,32184.0,VVT Petrol Engine
Manual,Maruti Baleno RS,2018.0,Bangalore,Petrol,Hatchback,First Owner,32279.0,Boosterjet Petrol Engine
Manual,Hyundai i20,2015.0,Bangalore,Petrol,Hatchback,First Owner,59698.0,Kappa VTVT Petrol Engine
Manual,Renault Captur,2018.0,Bangalore,Diesel,SUV,First Owner,46071.0,K9K dCi Diesel Engine
Manual,Maruti Vitara Brezza,2017.0,Bangalore,Diesel,SUV,First Owner,90000.0,DDiS 200 Diesel Engine
Manual,Hyundai Venue,2019.0,Bangalore,Petrol,SUV,First Owner,9554.0,
Automatic,Jeep Compass,2022.0,Bangalore,Petrol,SUV,First Owner,14000.0,1.4L MultiAir Petrol
Manual,Renault Duster,2013.0,Bangalore,Diesel,SUV,Second Owner,74499.0,dCi Diesel Engine 
Automatic,Ford Ecosport,2017.0,Bangalore,Petrol,SUV,Second Owner,56211.0,Ti-VCT Petrol Engine
Manual,Honda Jazz,2019.0,Bangalore,Petrol,Hatchback,First Owner,9001.0,i-VTEC Petrol Engine
Automatic,Mahindra XUV500,2017.0,Bangalore,Diesel,SUV,Second Owner,65457.0,mHawk Diesel Engine
Manual,Honda Jazz,2017.0,Bangalore,Petrol,Hatchback,First Owner,23682.0,i-VTEC Petrol Engine
Manual,Hyundai Verna,2020.0,Bangalore,Diesel,Sedan,First Owner,50000.0,U2 VGT Diesel Engine
Manual,Maruti Swift,2015.0,Bangalore,Diesel,Hatchback,Second Owner,134557.0,DDiS Diesel Engine
Manual,Maruti Swift Dzire,2013.0,Bangalore,Petrol,Sedan,Second Owner,96567.0,
Manual,Maruti Celerio,2015.0,Bangalore,Petrol,Hatchback,Third Owner,120000.0,K10B Engine
Manual,Maruti Ertiga,2014.0,Bangalore,Diesel,MUV,Second Owner,83007.0,DDiS Diesel Engine
Manual,Honda Jazz,2018.0,Bangalore,Petrol,Hatchback,First Owner,34000.0,i-VTEC Petrol Engine
Automatic,Hyundai Grand i10,2014.0,Bangalore,Petrol,Hatchback,First Owner,81634.0,Kappa VTVT Petrol Engine
Automatic,Honda City,2017.0,Bangalore,Petrol,Sedan,Second Owner,57284.0,i VTEC Engine
Automatic,Ford Ecosport,2016.0,Bangalore,Petrol,SUV,Second Owner,70000.0,Ti-VCT Petrol Engine
Manual,Honda Brio,2013.0,Bangalore,Petrol,Hatchback,Second Owner,70000.0,i-VTEC Engine
Automatic,Toyota Yaris,2018.0,Bangalore,Petrol,Sedan,Second Owner,46429.0,1.5 Dual VVT-i Engine
Manual,Maruti Baleno,2017.0,Bangalore,Petrol,Hatchback,First Owner,17624.0,VVT Petrol Engine
Manual,Volkswagen Vento,2012.0,Bangalore,Diesel,Sedan,Second Owner,100000.0,Common Rail Diesel Engine
Manual,Honda City,2019.0,Bangalore,Petrol,Sedan,First Owner,30000.0,i VTEC Engine
Manual,Ford Ecosport,2018.0,Bangalore,Petrol,SUV,Second Owner,49690.0,Ti-VCT Petrol Engine
Manual,Mahindra XUV500,2016.0,Bangalore,Diesel,SUV,First Owner,110000.0,mHawk Diesel Engine
Manual,Fiat Linea,2009.0,Bangalore,Petrol,Sedan,First Owner,50000.0,Front Wheel Drive
Manual,Fiat Linea,2009.0,Bangalore,Petrol,Sedan,First Owner,50000.0,Front Wheel Drive
Automatic,Ford Ecosport,2018.0,Bangalore,Petrol,SUV,First Owner,55702.0,Ti-VCT Petrol Engine
Manual,Hyundai i20 Active,2016.0,Bangalore,Diesel,Hatchback,First Owner,45046.0,U2 CRDI Diesel Engine
Manual,Maruti Ritz,2014.0,Bangalore,Petrol,Hatchback,Second Owner,53000.0,K Series Petrol Engine
Manual,Maruti Baleno,2016.0,Bangalore,Diesel,Hatchback,First Owner,94695.0,DDiS Diesel Engine
Manual,Maruti Baleno,2019.0,Bangalore,Petrol,Hatchback,First Owner,22162.0,VVT Petrol Engine
Manual,Hyundai Santro Xing,2010.0,Bangalore,Petrol,Hatchback,Second Owner,70000.0,Petrol Engine 
Manual,Honda City,2017.0,Bangalore,Diesel,Sedan,First Owner,115331.0,i DTEC Diesel Engine 
Automatic,Mercedes-Benz E-Class,2013.0,Bangalore,Diesel,Sedan,Second Owner,70000.0,In-Line Engine
Manual,Maruti Swift,2016.0,Bangalore,Petrol,Hatchback,Second Owner,42233.0,K Series Dual jet
Manual,Hyundai Grand i10,2019.0,Bangalore,Petrol,Hatchback,First Owner,20941.0,Kappa VTVT Petrol Engine
Manual,Maruti Vitara Brezza,2018.0,Bangalore,Diesel,SUV,Second Owner,50000.0,DDiS 200 Diesel Engine
Manual,Honda WR-V,2018.0,Bangalore,Petrol,SUV,First Owner,46602.0,i-VTEC Petrol Engine
Automatic,Mahindra Ssangyong Rexton,2014.0,Bangalore,Diesel,SUV,Second Owner,50000.0,RX270 XVT Diesel Engine 
Manual,Maruti Swift,2014.0,Bangalore,Diesel,Hatchback,Second Owner,104000.0,DDiS Diesel Engine
Manual,Ford Ecosport,2018.0,Bangalore,Diesel,SUV,First Owner,90000.0,TDCi Diesel Engine
Manual,Maruti Baleno,2017.0,Bangalore,Petrol,Hatchback,First Owner,50035.0,VVT Petrol Engine
Manual,Tata Nexon,2021.0,Bangalore,Petrol,SUV,First Owner,80000.0,1.2l Turbocharged Revotron Engine
Manual,Hyundai i20,2015.0,Bangalore,Petrol,Hatchback,Second Owner,90000.0,Kappa VTVT Petrol Engine
Automatic,Mercedes-Benz E-Class,2011.0,Bangalore,Diesel,Sedan,Fourth Owner,90000.0,4-in-line
