transmission,model,Year of Manufacture,City,ft,bt,Ownership,Kms Driven,Engine Type,price
0,22,2020.0,0,1,7,1,55000.0,413,6050000.0
0,21,2011.0,0,1,7,3,110000.0,278,1600000.0
0,300,2013.0,0,4,2,4,90000.0,394,520000.0
1,157,2016.0,0,4,2,1,116624.0,455,616000.0
1,163,2019.0,0,4,8,3,54561.0,479,795000.0
1,289,2013.0,0,1,4,3,120000.0,159,1275000.0
1,66,2016.0,0,4,2,1,65072.0,476,624000.0
1,77,2017.0,0,4,2,1,133532.0,320,549000.0
1,289,2010.0,0,1,4,4,120000.0,278,760000.0
1,180,2013.0,0,4,8,1,39886.0,508,524000.0
1,147,2019.0,0,1,7,1,80000.0,498,1650000.0
1,179,2015.0,0,1,2,3,56976.0,220,583000.0
1,305,2020.0,0,4,8,3,68303.0,393,1147000.0
0,215,2013.0,0,4,2,3,80000.0,344,1750000.0
0,249,2016.0,0,1,8,1,54000.0,236,825000.0
0,111,2016.0,0,1,7,1,98500.0,357,3150000.0
1,300,2018.0,0,4,2,1,72348.0,332,755000.0
1,73,2015.0,0,4,7,1,70000.0,450,875000.0
1,300,2021.0,0,4,2,1,62696.0,21,855000.0000000001
0,285,2014.0,0,1,7,4,174000.0,205,1845000.0
1,77,2016.0,0,4,2,1,65000.0,320,525000.0
0,77,2017.0,0,4,2,1,36000.0,320,650000.0
1,289,2011.0,0,1,4,3,199000.0,278,950000.0
0,63,2018.0,0,4,8,1,71905.0,469,846000.0000000001
1,179,2013.0,0,4,2,3,69748.0,287,424000.0
1,154,2008.0,0,4,2,1,44000.0,278,210000.0
1,295,2021.0,0,4,8,3,17875.0,70,959000.0
1,236,2020.0,0,4,7,1,95678.0,63,889000.0
0,239,2022.0,0,4,7,1,12003.0,27,850000.0
1,50,2018.0,0,1,7,3,114427.0,380,836000.0
0,239,2022.0,0,4,7,1,20000.0,27,660000.0
1,61,2012.0,0,4,2,1,64655.0,475,334000.0
1,133,2018.0,0,4,7,1,46456.0,487,594000.0
0,239,2021.0,0,4,7,1,20000.0,25,991000.0
1,101,2018.0,0,1,7,1,50000.0,124,1450000.0
1,305,2011.0,0,1,8,2,90000.0,203,219000.0
1,85,2022.0,0,1,7,1,20000.0,82,1285000.0
0,313,2021.0,0,4,7,1,27000.0,123,4195000.0
1,289,2008.0,0,1,4,4,150000.0,278,455000.0
1,157,2022.0,0,4,2,1,10000.0,36,825000.0
1,63,2018.0,0,4,8,1,40000.0,469,825000.0
1,50,2020.0,0,1,7,1,40000.0,380,920000.0
0,197,2018.0,0,1,8,3,20000.0,278,3300000.0
1,50,2017.0,0,1,7,3,91598.0,380,729000.0
1,160,2015.0,0,4,2,1,57521.0,296,432000.0
